;length;word_count;has_script;has_on_event;has_alert;has_prompt;has_confirm;has_console;has_javascript;has_vbscript;has_document;has_window;has_inner_html;has_outer_html;has_iframe;has_svg;has_dangerous_js;quote_count;equals_count;sum_count;has_url_encoding;has_html_entities;has_hex_encoding;has_unicode;tag_count;attribute_count;entropy;is_inside_quotes;has_nested_tags
7823;117;16;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;4;3;4.575906041917435;0;0
7824;98;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;4;2;0;0;0;0;0;4;2;4.273842736018171;1;0
7825;38;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;4.093340592892869;0;0
7826;74;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;3;3;4.325356365594329;0;0
7827;384;56;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;6;3;0;0;1;0;0;6;3;4.746360828847543;1;0
7828;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.3735572622751855;0;0
7829;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
7830;418;60;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;12;5;0;0;0;0;0;6;5;4.624360836797573;1;0
7831;60;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;4.350222422004224;0;0
7832;130;17;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;4;3;4.513558899178749;0;0
7833;61;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.139475439291339;1;0
7834;61;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.278376886424014;0;0
7835;93;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;2;2;4.878732569979949;1;0
7836;65;7;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.164170832132903;0;0
7837;36;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.294653473544341;0;0
7838;2266;337;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;28;12;0;0;1;0;0;17;12;4.654155328043502;1;0
7839;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.3735572622751855;0;0
7840;62;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;4.424066932312388;0;0
7841;98;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;3;2;4.873460262978111;1;0
7842;109;15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;4;2;4.326806114716169;0;0
7843;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
7844;36;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.082112238699807;0;0
7845;63;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;5;1;4.529764853660063;0;0
7846;39;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.057855988582063;0;0
7847;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.5216406363433186;0;0
7848;99;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;1;0;0;5;1;5.047928843564583;0;0
7849;253;42;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;8;4;0;0;0;0;0;18;4;4.7875211292662545;1;0
7850;83;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;4.338306528840874;0;0
7851;154;18;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;6;3;0;0;0;0;0;5;3;4.534295062185747;1;0
7852;37;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;4.260279974311011;0;0
7853;102;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;6;3;0;0;0;0;0;3;3;4.719350558203039;1;0
7854;111;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;1;0;0;4;1;5.107026452420847;0;0
7855;93;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;2;2;4.878732569979949;1;0
7856;93;13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;4;2;4.488136570417664;1;0
7857;1118;164;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;26;25;12;1;0;0;0;13;25;5.445910730810046;1;0
7858;43;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.275475372019213;0;0
7859;43;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;3;4.530233940446729;0;0
7860;92;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;4;2;0;0;0;0;0;4;2;4.348525925399456;1;0
7861;36;6;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;1;4.273684376262023;0;0
7862;55;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.141708632299495;1;0
7863;168;20;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;4;2;4.424721989543575;1;0
7864;26;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;4.132944044980958;0;0
7865;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
7866;55;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.337252041429739;0;0
7867;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.121928094887362;0;0
7868;54;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.2451506978054985;0;0
7869;57;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;2;2;4.25077054982467;1;0
7870;51;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.138330617314094;1;0
7871;51;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.271917068143641;0;0
7872;801;138;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;22;18;7;1;0;0;0;10;18;5.347523132827519;1;0
7873;60;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2;4.404574504151558;0;0
7874;176;29;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;3;0;0;0;0;0;4;3;4.797000443570947;1;0
7875;53;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.242466568653755;1;0
7876;48;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.252167324657883;0;0
